Cohort,N,Mean_BSA_DuBois_PRE,Mean_BSA_Most_PRE,Mean_BSA_DuBois_12M,Mean_BSA_Most_12M,Mean_ΔBSA_DuBois,Mean_ΔBSA_Mosteller,Mean_Δ_eGFR_IDX,Mean_Δ_NI_DuBois,Mean_Δ_NI_Mosteller,Diff_DuBois_vs_Most,Paired_t,Paired_p,Shapley_TrueGFR_DuBois,Shapley_BSA_artifact_DuBois,Shapley_TrueGFR_Mosteller,Shapley_BSA_artifact_Mosteller
Arruda,154,2.0948370781430823,2.1866185357462933,1.789996807797516,1.8176025570873762,-0.30484027034556627,-0.36901597865891667,3.026016183712496,-16.192666747635634,-20.229196665263377,4.036529917627737,30.91292575652822,1.1067099828422744e-67,-16.192666747635634,19.21868293134813,-20.229196665263377,23.255212848975873
Galvao,96,2.1148485919616475,2.2059271169197694,1.7722346546997596,1.7917797232956112,-0.34261393726188744,-0.4141473936241586,2.518616928226924,-18.69596866047678,-23.141368786992768,4.445400126515992,29.698384955803462,7.172528598673089e-50,-18.69596866047678,21.214585588703702,-23.141368786992768,25.65998571521969
Combined,250,2.1025214994494115,2.1940330309169074,1.7831761410079778,1.8076865889113383,-0.3193453584414336,-0.3863464420055696,2.831174869606037,-17.153934682166636,-21.34747076000746,4.193536077840827,42.15713049765928,2.376154929974963e-115,-17.153934682166636,19.985109551772673,-21.34747076000746,24.1786456296135
