Variable,Linked_N,Linked_Mean,Linked_SD,Unlinked_N,Unlinked_Mean,Unlinked_SD,SMD,T_stat,P_value,Imbalance_flag
Age,1287,42.41763073795928,10.156501457869453,1090,44.19327970662296,12.375062614623415,-0.15814021380186682,-3.780128583830863,0.00016110817697420258,
First_Creat,3037,0.735880803424432,0.16228986499547718,2289,0.7456924421144604,0.17124381398562377,-0.059036209225239944,-2.1168496579477347,0.03432410841287807,
N_visits,3210,2.76386292834891,2.2412190137067336,2619,1.9946544482626958,1.7809711818989806,0.3757228959962075,14.599608083956703,1.930827016886175e-47,YES
Time_span_days,3210,475.1065420560748,715.7985243365524,2597,283.46938775510205,670.0668902792526,0.27545195883317325,10.509483372756643,1.3396753240486807e-25,YES
Sex_Fem_%,3007,82.34120385766545,,2271,81.50594451783356,,0.021732366497071352,0.5558392500702787,0.4559415466507377,
